X,Y,OBJECTID,CT_NO,MAP_LABEL_NAME,CITY,ZIPCODE,POSTMILE_P,POSTMILE,POSTMILE_S,LATITUDE,LONGITUDE,DISTRICT,CO_CODE,COUNTY,ROUTE,REST_AREA_NAME,LANDMARK_LOCATION,TRAFFIC_DIRECTION,RESTROOM,WATER,PICNICTAB,PHONE,HANDICAP,RV_STATION,VENDING,PET_AREA
-13775541.4138,5156261.1874,1,90100018,Collier Tunnel Safety Roadside Rest Area - Nb & Sb,Gasquet,95543, ,33.3, ,41.968489,-123.74778,1,DN,Del Norte,199,Collier Tunnel,3 mi. S. of Oregon State Line,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13758503.2596,4840798.0553,2,90100029,Empire Camp Safety Roadside Rest Area - Nb,Laytonville,95454, ,82.5, ,39.826746,-123.594724,1,MEN,Mendocino,101,Empire Camp,2.5 mi. S. of Cummings,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13741798.7621,4805712.1687,3,90100054,Irvine Lodge Safety Roadside Rest Area - Nb,Laytonville,95454, ,61.82, ,39.584265,-123.444665,1,MEN,Mendocino,101,Irvine Lodge,7.9 mi. S. of Laytonville,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13739643.1707,4800814.6275,4,90100071,Moss Cove Safety Roadside Rest Area - Sb,Laytonville,95454, ,58.9, ,39.55035,-123.425301,1,MEN,Mendocino,101,Moss Cove,10.5 mi. S. of Laytonville,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13753206.4717,4995065.0368,5,90100085,Francis B. Mathews Safety Roadside Rest Area - Eb & Wb,Lewiston,96052, ,3.6, ,40.882761,-123.547142,2,TRI,Trinity,299,Francis B.Mathews,3 mi. E. of Salyer,E & W,Yes,Yes,Yes,No,Yes,Yes,No,Yes
-13820332.8064,5030617.2595,6,90100095,Trinidad Safety Roadside Rest Area - Nb,Trinidad,95570, ,105.14, ,41.123781,-124.150148,1,HUM,Humboldt,101,Trinidad,0.9 mi. S. Patricks Pt. U.C.,N,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
-13820393.8088,5025857.9177,7,90100096,Trinidad Safety Roadside Rest Area - Sb,Trinidad,95570, ,102.9, ,41.091567,-124.150696,1,HUM,Humboldt,101,Trinidad,3.1 mi. S. of Patricks Pt. U.C.,S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13603114.8103,4858091.8774,8,90200041,Lt. John C. Helmick Safety Roadside Rest Area - Nb,Corning,96021, ,10.5, ,39.945951,-122.198846,2,TEH,Tehama,5,LT John C. Helmick,1.3 mi. N. of Corning Road,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13599584.2285,5107607.927,9,90200072,Grass Lake Safety Roadside Rest Area - Nb & Sb,Weed,96094, ,21.8, ,41.642701,-122.16713,2,SIS,Siskiyou,97,Grass Lake,19.8 mi. N. of Weed,N & S,Yes,Yes,Yes,Yes,Yes,No,No,Yes
-13610002.7096,4902564.4788,10,90200086,Herbert S. Miles Safety Roadside Rest Area - Nb,Red Bluff,96080, ,33.2, ,40.251545,-122.260721,2,TEH,Tehama,5,Herbert S. Miles,4.4 mi. N. of Red Bluff,N,Yes,Yes,Yes,Yes,Yes,No,No,Yes
